id	cat	key	label
newtab	TABS	t	new
rename	TABS	,	rename
last-tab	TABS	b	last
jump	TABS	g	jump
reorder	TABS	G	reorder
attention	TABS	n	needs
move-tab	TABS	m	move
find	TABS	f	find
killtab	TABS	X	close
nexttab	TABS	Tab	next
prevtab	TABS	S-Tab	prev
tab-left	TABS	<	←
tab-right	TABS	>	→
tabs	TABS	1–9	go
workspaces	WS	w	list
new-ws	WS	N	new
rename-ws	WS	$	rename
recent-tabs	TABS	B	recent
ws-next	WS	)	next
ws-prev	WS	(	prev
detach	WS	d	detach
split	SPLIT	-/=	split
layout	SPLIT	Space	layout
zoom	SPLIT	z	zoom
pane-nav	SPLIT	hjkl	move
pane-resize	SPLIT	HJKL	resize
even	SPLIT	e	even
breakpane	SPLIT	!	pop
killpane	SPLIT	x	close
nextpane	SPLIT	o	next
rotate	SPLIT	O	rotate
copy	COPY	Esc	copy
paste	COPY	P	paste
actions	MISC	p	actions
help	MISC	/	help
reload	MISC	r	reload
cmd	MISC	:	cmd
keys	MISC	?	keys
save	MISC	C-s	save
restore	MISC	C-r	restore
tpm-install	MISC	I	install
tpm-update	MISC	U	update
